
Epoch [68/100], Main Loss: 0.2341, Aux Loss: 1.4423, Grad Norm: 4.4529, Train Acc: 94.66%, Test Acc: 94.21%
Epoch [69/100], Main Loss: 0.2362, Aux Loss: 1.4140, Grad Norm: 4.5877, Train Acc: 95.58%, Test Acc: 95.47%
Epoch [70/100], Main Loss: 0.2330, Aux Loss: 1.4059, Grad Norm: 4.5586, Train Acc: 95.78%, Test Acc: 95.56%
Epoch [71/100], Main Loss: 0.2340, Aux Loss: 1.4062, Grad Norm: 4.6219, Train Acc: 95.69%, Test Acc: 95.62%
Epoch [72/100], Main Loss: 0.2351, Aux Loss: 1.4090, Grad Norm: 4.6476, Train Acc: 95.76%, Test Acc: 95.74%
Epoch [73/100], Main Loss: 0.2367, Aux Loss: 1.3739, Grad Norm: 4.6709, Train Acc: 95.56%, Test Acc: 95.19%
Epoch [74/100], Main Loss: 0.2370, Aux Loss: 1.3909, Grad Norm: 4.6375, Train Acc: 95.22%, Test Acc: 95.03%
Epoch [75/100], Main Loss: 0.2376, Aux Loss: 1.3960, Grad Norm: 4.7487, Train Acc: 95.75%, Test Acc: 95.73%
Epoch [76/100], Main Loss: 0.2348, Aux Loss: 1.3750, Grad Norm: 4.6246, Train Acc: 95.67%, Test Acc: 95.32%
Epoch [77/100], Main Loss: 0.2346, Aux Loss: 1.3957, Grad Norm: 4.6676, Train Acc: 95.51%, Test Acc: 95.23%
Epoch [78/100], Main Loss: 0.2347, Aux Loss: 1.3575, Grad Norm: 4.7556, Train Acc: 95.60%, Test Acc: 95.42%
Epoch [79/100], Main Loss: 0.2386, Aux Loss: 1.3595, Grad Norm: 4.8453, Train Acc: 95.21%, Test Acc: 94.82%
Epoch [80/100], Main Loss: 0.2365, Aux Loss: 1.3720, Grad Norm: 4.7089, Train Acc: 95.28%, Test Acc: 94.79%
Epoch [81/100], Main Loss: 0.2342, Aux Loss: 1.3701, Grad Norm: 4.7999, Train Acc: 95.89%, Test Acc: 95.11%
Epoch [82/100], Main Loss: 0.2343, Aux Loss: 1.3772, Grad Norm: 4.7124, Train Acc: 95.51%, Test Acc: 95.23%
Epoch [83/100], Main Loss: 0.2384, Aux Loss: 1.3764, Grad Norm: 4.7336, Train Acc: 95.84%, Test Acc: 95.76%
Epoch [84/100], Main Loss: 0.2334, Aux Loss: 1.3784, Grad Norm: 4.7753, Train Acc: 95.00%, Test Acc: 94.91%
Epoch [85/100], Main Loss: 0.2359, Aux Loss: 1.3700, Grad Norm: 4.8465, Train Acc: 95.42%, Test Acc: 95.38%
Epoch [86/100], Main Loss: 0.2348, Aux Loss: 1.3813, Grad Norm: 4.7669, Train Acc: 95.74%, Test Acc: 95.42%
Epoch [87/100], Main Loss: 0.2341, Aux Loss: 1.3549, Grad Norm: 4.8085, Train Acc: 95.81%, Test Acc: 95.71%
Epoch [88/100], Main Loss: 0.2359, Aux Loss: 1.3496, Grad Norm: 4.7593, Train Acc: 95.53%, Test Acc: 95.10%
Epoch [89/100], Main Loss: 0.2373, Aux Loss: 1.3453, Grad Norm: 4.8758, Train Acc: 95.22%, Test Acc: 94.76%
Epoch [90/100], Main Loss: 0.2346, Aux Loss: 1.3601, Grad Norm: 4.7352, Train Acc: 95.57%, Test Acc: 95.28%
Epoch [91/100], Main Loss: 0.2370, Aux Loss: 1.3402, Grad Norm: 4.8619, Train Acc: 95.12%, Test Acc: 94.79%
Epoch [92/100], Main Loss: 0.2349, Aux Loss: 1.3443, Grad Norm: 4.8155, Train Acc: 95.34%, Test Acc: 95.14%
Epoch [93/100], Main Loss: 0.2373, Aux Loss: 1.3598, Grad Norm: 4.8343, Train Acc: 96.09%, Test Acc: 96.26%
Epoch [94/100], Main Loss: 0.2338, Aux Loss: 1.3222, Grad Norm: 4.7788, Train Acc: 95.67%, Test Acc: 95.57%
Epoch [95/100], Main Loss: 0.2362, Aux Loss: 1.3153, Grad Norm: 4.9234, Train Acc: 95.73%, Test Acc: 95.81%
Epoch [96/100], Main Loss: 0.2381, Aux Loss: 1.3161, Grad Norm: 4.9551, Train Acc: 95.35%, Test Acc: 95.03%
Epoch [97/100], Main Loss: 0.2363, Aux Loss: 1.3148, Grad Norm: 4.9394, Train Acc: 95.45%, Test Acc: 95.14%
Epoch [98/100], Main Loss: 0.2381, Aux Loss: 1.2989, Grad Norm: 4.9168, Train Acc: 95.54%, Test Acc: 95.27%
Epoch [99/100], Main Loss: 0.2378, Aux Loss: 1.3006, Grad Norm: 4.9555, Train Acc: 94.54%, Test Acc: 94.22%
Epoch [100/100], Main Loss: 0.2361, Aux Loss: 1.2884, Grad Norm: 4.8756, Train Acc: 95.00%, Test Acc: 94.72%
